OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_2500	Fungi	?	?	?	?	?	?
OTU_2501	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU_2502	Fungi	?	?	?	?	?	?
OTU_2503	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	Cylindrocarpon decumbens
OTU_2504	Fungi	Ascomycota	?	?	?	?	?
OTU_2505	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2506	Fungi	?	?	?	?	?	?
OTU_2508	Fungi	Ascomycota	?	?	?	?	?
OTU_2509	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus biplanus
OTU_2511	Fungi	Ascomycota	?	?	?	?	?
OTU_2513	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	?
OTU_2515	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2516	Fungi	Ascomycota	?	?	?	?	?
OTU_2517	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2518	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
OTU_2521	Fungi	Ascomycota	?	?	?	?	?
OTU_2522	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2523	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Virgaria	?
OTU_2524	Fungi	Ascomycota	?	?	?	?	?
OTU_2525	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2526	Fungi	Ascomycota	unidentified	unidentified	unidentified	?	?
OTU_2527	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2530	Fungi	Ascomycota	Sordariomycetes	Diaporthales	?	?	?
OTU_2531	Fungi	Ascomycota	Archaeorhizomycetes	?	?	?	?
OTU_2535	Fungi	Ascomycota	?	?	?	?	?
OTU_2540	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unidentified	Mycosphaerellaceae sp
OTU_2541	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2542	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2543	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2544	Fungi	Ascomycota	?	?	?	?	?
OTU_2546	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2547	Fungi	Ascomycota	?	?	?	?	?
OTU_2548	Fungi	Ascomycota	Incertae sedis	?	?	?	?
OTU_2550	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2551	Fungi	Ascomycota	?	?	?	?	?
OTU_2552	Fungi	?	?	?	?	?	?
OTU_2555	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2557	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_2559	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	unidentified	Ustilaginaceae sp
OTU_2560	Fungi	Glomeromycota	?	?	?	?	?
OTU_2561	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	?	?	?
OTU_2563	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus sp
OTU_2564	Fungi	unidentified	?	?	?	?	?
OTU_2565	Fungi	Basidiomycota	Agaricomycetes	Polyporales	?	?	?
OTU_2566	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2567	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2568	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	?	?
OTU_2569	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2570	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Incertae sedis	Cryptococcus	Cryptococcus aff taibaiensis IMUFRJ 51982
OTU_2571	Fungi	Ascomycota	Sordariomycetes	Xylariales	?	?	?
OTU_2572	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2573	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU_2575	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma lucidum
OTU_2576	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	?	?
OTU_2577	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	Nectriaceae sp
OTU_2580	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2581	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago sporoboli_indici
OTU_2582	Fungi	Ascomycota	?	?	?	?	?
OTU_2584	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	?
OTU_2585	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2586	Fungi	Basidiomycota	?	?	?	?	?
OTU_2587	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus etunicatum
OTU_2589	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2590	Fungi	Ascomycota	?	?	?	?	?
OTU_2592	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	?	?
OTU_2593	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales sp
OTU_2594	Fungi	Basidiomycota	?	?	?	?	?
OTU_2595	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	unidentified	Sordariaceae sp
OTU_2597	Fungi	Ascomycota	?	?	?	?	?
OTU_2598	Fungi	Ascomycota	?	?	?	?	?
OTU_2599	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2600	Fungi	Ascomycota	?	?	?	?	?
OTU_2602	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_2603	Fungi	Ascomycota	Dothideomycetes	unidentified	?	?	?
OTU_2604	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	Myriodontium	Myriodontium keratinophilum
OTU_2605	Fungi	Ascomycota	Sordariomycetes	Incertae sedis	?	?	?
OTU_2606	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_2607	Fungi	Zygomycota	Incertae sedis	Mortierellales	unidentified	?	?
OTU_2609	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2610	Fungi	Zygomycota	?	?	?	?	?
OTU_2612	Fungi	Ascomycota	?	?	?	?	?
OTU_2613	Fungi	Ascomycota	?	?	?	?	?
OTU_2614	Fungi	Ascomycota	?	?	?	?	?
OTU_2616	Fungi	Ascomycota	?	?	?	?	?
OTU_2617	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Incertae sedis	Rhodotorula	Rhodotorula graminis
OTU_2618	Fungi	Ascomycota	?	?	?	?	?
OTU_2620	Fungi	Ascomycota	Orbiliomycetes	?	?	?	?
OTU_2621	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_2622	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_2623	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2624	Fungi	Ascomycota	?	?	?	?	?
OTU_2625	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2627	Fungi	Ascomycota	?	?	?	?	?
OTU_2630	Fungi	Ascomycota	?	?	?	?	?
OTU_2631	Fungi	Ascomycota	?	?	?	?	?
OTU_2634	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	?
OTU_2635	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita masasiensis
OTU_2636	Fungi	Basidiomycota	?	?	?	?	?
OTU_2637	Fungi	Ascomycota	?	?	?	?	?
OTU_2638	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	?	?	?
OTU_2639	Fungi	Basidiomycota	Agaricomycetes	Boletales	?	?	?
OTU_2641	Fungi	Ascomycota	?	?	?	?	?
OTU_2642	Fungi	Ascomycota	?	?	?	?	?
OTU_2643	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2647	Fungi	Ascomycota	?	?	?	?	?
OTU_2648	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
OTU_2649	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	unidentified	Gymnoascaceae sp
OTU_2650	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium brasiliense
OTU_2651	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_2652	Fungi	Ascomycota	?	?	?	?	?
OTU_2653	Fungi	Ascomycota	?	?	?	?	?
OTU_2654	Fungi	Incertae sedis	?	?	?	?	?
OTU_2655	Fungi	Ascomycota	?	?	?	?	?
OTU_2656	Fungi	Ascomycota	?	?	?	?	?
OTU_2658	Fungi	Ascomycota	?	?	?	?	?
OTU_2659	Fungi	Ascomycota	?	?	?	?	?
OTU_2660	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_2661	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae	Porodisculus	?
OTU_2662	Fungi	Basidiomycota	?	?	?	?	?
OTU_2664	Fungi	Ascomycota	?	?	?	?	?
OTU_2665	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_2666	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tubeufiaceae	unidentified	Tubeufiaceae sp
OTU_2667	Fungi	Ascomycota	?	?	?	?	?
OTU_2668	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
OTU_2669	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_2670	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_2672	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2673	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	unidentified	Botryosphaeriaceae sp
OTU_2674	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	unidentified	Pleosporaceae sp
OTU_2675	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2677	Fungi	?	?	?	?	?	?
OTU_2678	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	?	?
OTU_2680	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	?
OTU_2681	Fungi	Ascomycota	?	?	?	?	?
OTU_2682	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Incertae sedis	?	?
OTU_2683	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia sp
OTU_2685	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2686	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2690	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	?
OTU_2692	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	?
OTU_2693	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2696	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2697	Fungi	Ascomycota	Sordariomycetes	Incertae sedis	?	?	?
OTU_2700	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	?	?
OTU_2702	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_2703	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	Hypocreales sp
OTU_2704	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	?
OTU_2705	Fungi	Chytridiomycota	?	?	?	?	?
OTU_2707	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2708	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unidentified	Chaetomiaceae sp
OTU_2709	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	?
OTU_2710	Fungi	?	?	?	?	?	?
OTU_2711	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_2712	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia sebi
OTU_2714	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_2716	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	?
OTU_2719	Fungi	Ascomycota	?	?	?	?	?
OTU_2722	Fungi	?	?	?	?	?	?
OTU_2723	Fungi	Ascomycota	?	?	?	?	?
OTU_2724	Fungi	Ascomycota	?	?	?	?	?
OTU_2725	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi sp
OTU_2726	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	?
OTU_2727	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	?
OTU_2728	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	?
OTU_2729	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2731	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2732	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces flavus
OTU_2737	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	?
OTU_2738	Fungi	Glomeromycota	?	?	?	?	?
OTU_2739	Fungi	Chytridiomycota	?	?	?	?	?
OTU_2741	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2742	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_2744	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus japonicus
OTU_2745	Fungi	?	?	?	?	?	?
OTU_2747	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_2749	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2750	Fungi	Basidiomycota	Agaricomycetes	Boletales	?	?	?
OTU_2751	Fungi	Ascomycota	?	?	?	?	?
OTU_2752	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2753	Fungi	Zygomycota	Incertae sedis	Mucorales	Saksenaeaceae	Saksenaea	Saksenaea oblongispora
OTU_2754	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	?	?
OTU_2755	Fungi	?	?	?	?	?	?
OTU_2756	Fungi	?	?	?	?	?	?
OTU_2762	Fungi	Glomeromycota	?	?	?	?	?
OTU_2763	Fungi	Ascomycota	?	?	?	?	?
OTU_2764	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	?	?
OTU_2766	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2768	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2769	Fungi	Chytridiomycota	?	?	?	?	?
OTU_2770	Fungi	Ascomycota	?	?	?	?	?
OTU_2771	Fungi	Ascomycota	?	?	?	?	?
OTU_2772	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_2773	Fungi	Ascomycota	?	?	?	?	?
OTU_2775	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	?
OTU_2776	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2778	Fungi	Glomeromycota	Glomeromycetes	unidentified	unidentified	?	?
OTU_2779	Fungi	Basidiomycota	Tremellomycetes	?	?	?	?
OTU_2780	Fungi	Ascomycota	?	?	?	?	?
OTU_2781	Fungi	Glomeromycota	?	?	?	?	?
OTU_2782	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2783	Fungi	Basidiomycota	?	?	?	?	?
OTU_2784	Fungi	Basidiomycota	?	?	?	?	?
OTU_2786	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	Chaetothyriales sp
OTU_2787	Fungi	Ascomycota	?	?	?	?	?
OTU_2788	Fungi	?	?	?	?	?	?
OTU_2789	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_2790	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes sp
OTU_2793	Fungi	Basidiomycota	?	?	?	?	?
OTU_2794	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2795	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea erecta
OTU_2796	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2797	Fungi	Ascomycota	?	?	?	?	?
OTU_2798	Fungi	?	?	?	?	?	?
OTU_2799	Fungi	?	?	?	?	?	?
OTU_2800	Fungi	Ascomycota	?	?	?	?	?
OTU_2801	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_2802	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Stachybotrys	?
OTU_2805	Fungi	Glomeromycota	?	?	?	?	?
OTU_2808	Fungi	Ascomycota	unidentified	?	?	?	?
OTU_2809	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2810	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Neopestalotiopsis foedans
OTU_2811	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	Hypocreales sp
OTU_2813	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium bostrychodes
OTU_2814	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	?
OTU_2815	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2816	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	?	?
OTU_2817	Fungi	Basidiomycota	?	?	?	?	?
OTU_2818	Fungi	Ascomycota	?	?	?	?	?
OTU_2819	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2820	Fungi	Ascomycota	?	?	?	?	?
OTU_2821	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	?	?
OTU_2823	Fungi	Ascomycota	Sordariomycetes	unidentified	unidentified	?	?
OTU_2824	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2825	Fungi	unidentified	unidentified	unidentified	?	?	?
OTU_2827	Fungi	Ascomycota	?	?	?	?	?
OTU_2828	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium medusarum
OTU_2829	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	Glomeraceae sp
OTU_2830	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	?	?
OTU_2831	Fungi	?	?	?	?	?	?
OTU_2833	Fungi	Ascomycota	?	?	?	?	?
OTU_2834	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU_2837	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_2838	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_2839	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2840	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2841	Fungi	?	?	?	?	?	?
OTU_2842	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_2845	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2847	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella tassiana
OTU_2848	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes cingulata
OTU_2851	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Acremonium	Acremonium sp CCF3791
OTU_2852	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	unidentified	Xylariaceae sp
OTU_2854	Fungi	?	?	?	?	?	?
OTU_2855	Fungi	Ascomycota	?	?	?	?	?
OTU_2856	Fungi	Basidiomycota	?	?	?	?	?
OTU_2857	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	?	?
OTU_2858	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Gamsylella	Gamsylella gephyropaga
OTU_2859	Fungi	Basidiomycota	Tremellomycetes	?	?	?	?
OTU_2860	Fungi	Ascomycota	Dothideomycetes	Capnodiales	?	?	?
OTU_2861	Fungi	Basidiomycota	?	?	?	?	?
OTU_2863	Fungi	Basidiomycota	?	?	?	?	?
OTU_2864	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	Letendraea	?
OTU_2868	Fungi	Ascomycota	?	?	?	?	?
OTU_2869	Fungi	Ascomycota	?	?	?	?	?
OTU_2870	Fungi	Ascomycota	Leotiomycetes	?	?	?	?
OTU_2871	Fungi	Ascomycota	Sordariomycetes	unidentified	unidentified	unidentified	Sordariomycetes sp
OTU_2875	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	?
OTU_2877	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	?	?
OTU_2879	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Myrothecium	?
OTU_2880	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2881	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2882	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_2883	Fungi	Basidiomycota	Tremellomycetes	?	?	?	?
OTU_2884	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2885	Fungi	Zygomycota	?	?	?	?	?
OTU_2887	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Quambalariaceae	Quambalaria	Quambalaria simpsonii
OTU_2888	Fungi	?	?	?	?	?	?
OTU_2889	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2890	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2891	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2895	Fungi	Basidiomycota	?	?	?	?	?
OTU_2897	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Phomopsis	Phomopsis sp
OTU_2898	Fungi	Ascomycota	?	?	?	?	?
OTU_2899	Fungi	Ascomycota	?	?	?	?	?
OTU_2900	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_2901	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2902	Fungi	Basidiomycota	Microbotryomycetes	?	?	?	?
OTU_2906	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2907	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2908	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma helicum
OTU_2909	Fungi	?	?	?	?	?	?
OTU_2910	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae sedis	Scytalidium	?
OTU_2913	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2915	Fungi	Ascomycota	?	?	?	?	?
OTU_2916	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_2917	Fungi	Ascomycota	Sordariomycetes	unidentified	?	?	?
OTU_2918	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_2919	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Cryptococcus	?
OTU_2921	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2922	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes sp
OTU_2924	Fungi	Basidiomycota	?	?	?	?	?
OTU_2925	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2926	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2928	Fungi	Basidiomycota	?	?	?	?	?
OTU_2929	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_2930	Fungi	?	?	?	?	?	?
OTU_2932	Fungi	Ascomycota	?	?	?	?	?
OTU_2933	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	?	?
OTU_2935	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria sp
OTU_2937	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus heterocystis
OTU_2938	Fungi	Basidiomycota	?	?	?	?	?
OTU_2939	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	?	?
OTU_2940	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Incertae sedis	unidentified	?
OTU_2943	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	?	?
OTU_2946	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus karnatakaensis
OTU_2948	Fungi	?	?	?	?	?	?
OTU_2949	Fungi	Ascomycota	Sordariomycetes	Xylariales	?	?	?
OTU_2954	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Calvatia	Calvatia cyathiformis
OTU_2957	Fungi	Ascomycota	?	?	?	?	?
OTU_2958	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Eupenicillium	Eupenicillium cinnamopurpureum
OTU_2962	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_2965	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Graphium	?
OTU_2966	Fungi	Ascomycota	?	?	?	?	?
OTU_2968	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2969	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2970	Fungi	?	?	?	?	?	?
OTU_2971	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2972	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	?	?	?
OTU_2973	Fungi	?	?	?	?	?	?
OTU_2974	Fungi	Ascomycota	unidentified	?	?	?	?
OTU_2975	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2976	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2977	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Gnomonia	Gnomonia sp
OTU_2978	Fungi	Basidiomycota	?	?	?	?	?
OTU_2980	Fungi	Basidiomycota	?	?	?	?	?
OTU_2981	Fungi	Glomeromycota	?	?	?	?	?
OTU_2982	Fungi	Ascomycota	?	?	?	?	?
OTU_2983	Fungi	Basidiomycota	?	?	?	?	?
OTU_2985	Fungi	Ascomycota	?	?	?	?	?
