OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_4682	Fungi	Ascomycota	?	?	?	?	?
OTU_4683	Fungi	?	?	?	?	?	?
OTU_4685	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria sp
OTU_4687	Fungi	Zygomycota	?	?	?	?	?
OTU_4688	Fungi	Ascomycota	?	?	?	?	?
OTU_4689	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma dictyosporum
OTU_4690	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_4691	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	unidentified	?
OTU_4693	Fungi	Ascomycota	?	?	?	?	?
OTU_4694	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	Ochroconis	Ochroconis gamsii
OTU_4695	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_4696	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_4699	Fungi	Ascomycota	Pezizomycetes	?	?	?	?
OTU_4700	Fungi	Basidiomycota	?	?	?	?	?
OTU_4701	Fungi	Ascomycota	unidentified	?	?	?	?
OTU_4703	Fungi	Ascomycota	?	?	?	?	?
OTU_4704	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_4705	Fungi	Rozellomycota	unidentified	unidentified	?	?	?
OTU_4706	Fungi	Glomeromycota	Glomeromycetes	unidentified	?	?	?
OTU_4707	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_4708	Fungi	Basidiomycota	Agaricomycetes	Polyporales	?	?	?
OTU_4710	Fungi	Ascomycota	Sordariomycetes	Xylariales	Incertae sedis	Microdochium	Microdochium sp ASR_195
OTU_4712	Fungi	Ascomycota	Sordariomycetes	Xylariales	Incertae sedis	Coniocessia	Coniocessia nodulisporioides
OTU_4713	Fungi	Ascomycota	Sordariomycetes	Incertae sedis	Apiosporaceae	Arthrinium	?
OTU_4714	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU_4715	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_4717	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_4718	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium sp F33
OTU_4719	Fungi	Ascomycota	?	?	?	?	?
OTU_4720	Fungi	Ascomycota	Incertae sedis	Incertae sedis	?	?	?
OTU_4723	Fungi	?	?	?	?	?	?
OTU_4724	Fungi	Ascomycota	?	?	?	?	?
OTU_4725	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	?
OTU_4729	Fungi	?	?	?	?	?	?
OTU_4731	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_4732	Fungi	Ascomycota	?	?	?	?	?
OTU_4733	Fungi	Basidiomycota	?	?	?	?	?
OTU_4734	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Pestalotiopsis	?
OTU_4735	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	unidentified	Xylariaceae sp
OTU_4736	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	Glomeraceae sp
OTU_4737	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_4739	Fungi	Ascomycota	?	?	?	?	?
OTU_4740	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_4741	Fungi	Ascomycota	?	?	?	?	?
